INFO     - 2018-10-06 01:42:31,250 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('123456789', 5, 32.5)
INFO     - 2018-10-06 01:42:32,190 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('222222203', 62, 40.0)
INFO     - 2018-10-06 01:42:32,223 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('222222204', 62, 40.0)
INFO     - 2018-10-06 01:42:32,257 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('222222205', 62, 40.0)
INFO     - 2018-10-06 01:42:32,290 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('333333300', 63, 40.0)
INFO     - 2018-10-06 01:42:32,324 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('333333301', 63, 46.0)
INFO     - 2018-10-06 01:42:32,358 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('444444400', 91, 40.0)
INFO     - 2018-10-06 01:42:32,391 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('444444401', 91, 40.0)
INFO     - 2018-10-06 01:42:32,425 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('444444402', 91, 40.0)
INFO     - 2018-10-06 01:42:32,458 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('444444403', 91, 40.0)
INFO     - 2018-10-06 01:42:32,483 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('555555500', 92, 40.0)
INFO     - 2018-10-06 01:42:32,528 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('555555501', 92, 44.0)
INFO     - 2018-10-06 01:42:32,572 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666601', 91, 40.0)
INFO     - 2018-10-06 01:42:32,617 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666603', 91, 40.0)
INFO     - 2018-10-06 01:42:32,662 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666604', 91, 40.0)
INFO     - 2018-10-06 01:42:32,706 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666605', 92, 40.0)
INFO     - 2018-10-06 01:42:32,751 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666606', 91, 40.0)
INFO     - 2018-10-06 01:42:32,796 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666607', 61, 40.0)
INFO     - 2018-10-06 01:42:32,840 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666608', 62, 40.0)
INFO     - 2018-10-06 01:42:32,885 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666609', 63, 40.0)
INFO     - 2018-10-06 01:42:32,930 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666610', 61, 40.0)
INFO     - 2018-10-06 01:42:32,975 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666611', 61, 40.0)
INFO     - 2018-10-06 01:42:33,019 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666612', 61, 40.0)
INFO     - 2018-10-06 01:42:33,064 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666613', 61, 30.0)
INFO     - 2018-10-06 01:42:33,097 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666613', 62, 10.0)
INFO     - 2018-10-06 01:42:33,131 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('666666613', 63, 10.0)
INFO     - 2018-10-06 01:42:33,165 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999999999', 5, 2.0)
INFO     - 2018-10-06 01:42:33,198 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999999999', 6, 2.0)
INFO     - 2018-10-06 01:42:33,232 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999999999', 7, 4.0)
INFO     - 2018-10-06 01:42:33,265 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999999999', 10, 4.0)
INFO     - 2018-10-06 01:42:33,299 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999999999', 20, 4.0)
INFO     - 2018-10-06 01:42:33,333 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999999999', 30, 4.0)
INFO     - 2018-10-06 01:42:33,366 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999999999', 61, 4.0)
INFO     - 2018-10-06 01:42:33,400 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999999999', 62, 4.0)
INFO     - 2018-10-06 01:42:33,434 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999999999', 63, 4.0)
INFO     - 2018-10-06 01:42:33,467 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999999999', 70, 2.0)
INFO     - 2018-10-06 01:42:33,500 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999999999', 91, 2.0)
INFO     - 2018-10-06 01:42:33,534 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999999999', 92, 1.0)
INFO     - 2018-10-06 01:42:33,568 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('999999999', 95, 3.0)
INFO     - 2018-10-06 01:42:33,601 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('254937381', 70, 40.0)
INFO     - 2018-10-06 01:42:33,635 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('222333444', 91, 10.0)
INFO     - 2018-10-06 01:42:33,668 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('223344667', 63, 20.0)
INFO     - 2018-10-06 01:42:33,702 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('444222666', 62, 25.0)
INFO     - 2018-10-06 01:42:33,736 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('112244668', 95, 40.0)
INFO     - 2018-10-06 01:42:33,769 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('343434344', 63, 40.0)
INFO     - 2018-10-06 01:42:33,803 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('234234234', 95, 35.0)
INFO     - 2018-10-06 01:42:33,836 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('913323708', 92, 33.0)
INFO     - 2018-10-06 01:42:33,870 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('636669233', 4, 11.0)
INFO     - 2018-10-06 01:42:33,872 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('614370310', 3, 45.0)
INFO     - 2018-10-06 01:42:33,948 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('849934919', 95, 23.0)
INFO     - 2018-10-06 01:42:33,993 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('432765098', 63, 25.0)
INFO     - 2018-10-06 01:42:34,038 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('444212096', 63, 25.0)
INFO     - 2018-10-06 01:42:34,082 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('913353347', 22, 30.0)
INFO     - 2018-10-06 01:42:34,127 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('292740167', 5, 25.0)
INFO     - 2018-10-06 01:42:34,172 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('202843824', 11, 20.0)
INFO     - 2018-10-06 01:42:34,245 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('673466642', 22, 4.0)
INFO     - 2018-10-06 01:42:34,334 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('101248268', 29, 10.0)
INFO     - 2018-10-06 01:42:34,390 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('245239264', 11, 25.0)
INFO     - 2018-10-06 01:42:34,423 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('242916639', 4, 5.0)
INFO     - 2018-10-06 01:42:34,457 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('906218888', 29, 15.0)
INFO     - 2018-10-06 01:42:34,491 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('001614905', 13, 18.0)
INFO     - 2018-10-06 01:42:34,524 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('245239264', 10, 25.0)
INFO     - 2018-10-06 01:42:34,558 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('349273344', 29, 15.0)
INFO     - 2018-10-06 01:42:34,592 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('242916639', 11, 20.0)
INFO     - 2018-10-06 01:42:34,636 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('214370999', 10, 35.0)
INFO     - 2018-10-06 01:42:34,681 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('111422203', 4, 45.0)
INFO     - 2018-10-06 01:42:34,726 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('398172999', 70, 10.0)
INFO     - 2018-10-06 01:42:34,771 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('241625699', 61, 4.0)
INFO     - 2018-10-06 01:42:34,816 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('245239264', 5, 5.0)
INFO     - 2018-10-06 01:42:34,861 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('349273344', 6, 10.0)
INFO     - 2018-10-06 01:42:34,905 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('242916639', 7, 10.0)
INFO     - 2018-10-06 01:42:34,961 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('214370999', 5, 4.0)
INFO     - 2018-10-06 01:42:35,006 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('111422203', 6, 5.0)
INFO     - 2018-10-06 01:42:35,050 [Works_On.py][insert_data]  INSERT INTO WORKS_ON (Essn, Pno, Hours) VALUES (%s, %s, %s) ('398172999', 7, 10.0)
